 5.00 -2.853e-04  5.458e-01  2.689e-01  2.319e-01
15.00  5.550e-04  4.930e-01  2.363e-01  2.331e-01
25.00  1.941e-03  5.275e-01  2.646e-01  2.446e-01
35.00  4.256e-04  5.227e-01  2.200e-01  2.404e-01
45.00  6.771e-05  5.017e-01  2.477e-01  2.512e-01
55.00  6.978e-03  4.874e-01  2.589e-01  2.410e-01
65.00  8.870e-03  5.030e-01  2.197e-01  2.461e-01
75.00  1.634e-02  4.625e-01  2.314e-01  2.278e-01
85.00  1.749e-02  4.783e-01  2.705e-01  2.347e-01
95.00  1.397e-02  4.755e-01  2.511e-01  2.381e-01
105.00  2.767e-02  4.570e-01  2.392e-01  2.359e-01
115.00  2.419e-02  4.619e-01  2.463e-01  2.188e-01
125.00  3.119e-02  4.608e-01  2.307e-01  2.479e-01
135.00  3.299e-02  4.497e-01  2.658e-01  2.332e-01
145.00  2.281e-02  4.492e-01  2.298e-01  2.229e-01
155.00  3.678e-02  4.576e-01  2.322e-01  2.483e-01
165.00  4.921e-02  4.112e-01  2.381e-01  2.283e-01
175.00  4.599e-02  4.093e-01  2.436e-01  2.254e-01
185.00  5.853e-02  4.020e-01  2.431e-01  2.451e-01
195.00  5.386e-02  3.735e-01  2.334e-01  2.152e-01
205.00  5.885e-02  3.581e-01  2.383e-01  2.252e-01
215.00  7.728e-02  3.446e-01  2.337e-01  2.170e-01
225.00  6.117e-02  3.268e-01  2.334e-01  2.075e-01
235.00  7.946e-02  3.306e-01  2.319e-01  2.360e-01
245.00  8.900e-02  3.402e-01  2.160e-01  2.120e-01
255.00  7.888e-02  3.173e-01  2.224e-01  2.422e-01
265.00  9.278e-02  3.096e-01  1.960e-01  2.237e-01
275.00  9.222e-02  3.011e-01  2.202e-01  2.198e-01
285.00  9.777e-02  2.839e-01  2.405e-01  2.093e-01
295.00  9.020e-02  2.673e-01  2.229e-01  2.123e-01
305.00  1.201e-01  2.496e-01  2.184e-01  2.200e-01
315.00  1.147e-01  2.504e-01  2.084e-01  2.246e-01
325.00  1.118e-01  2.452e-01  2.215e-01  2.174e-01
335.00  1.221e-01  2.260e-01  2.320e-01  2.167e-01
345.00  1.411e-01  2.290e-01  2.088e-01  1.960e-01
355.00  1.453e-01  1.980e-01  2.020e-01  2.148e-01
365.00  1.533e-01  2.026e-01  2.135e-01  2.027e-01
375.00  1.416e-01  1.885e-01  2.130e-01  1.917e-01
385.00  1.513e-01  1.794e-01  2.193e-01  2.035e-01
395.00  1.617e-01  1.686e-01  2.258e-01  2.195e-01
405.00  1.738e-01  1.726e-01  2.116e-01  1.895e-01
415.00  1.705e-01  1.549e-01  2.046e-01  1.963e-01
425.00  1.668e-01  1.238e-01  2.021e-01  1.970e-01
435.00  1.815e-01  1.358e-01  1.910e-01  1.991e-01
445.00  1.781e-01  1.286e-01  2.000e-01  1.793e-01
455.00  1.771e-01  1.333e-01  2.044e-01  1.764e-01
465.00  1.913e-01  1.180e-01  2.219e-01  1.986e-01
475.00  1.858e-01  1.107e-01  2.205e-01  1.806e-01
485.00  1.930e-01  1.075e-01  2.134e-01  1.918e-01
495.00  1.798e-01  9.687e-02  2.084e-01  1.768e-01
505.00  1.907e-01  8.838e-02  2.249e-01  1.737e-01
515.00  1.900e-01  9.016e-02  2.102e-01  1.760e-01
525.00  1.887e-01  8.066e-02  2.067e-01  1.803e-01
535.00  1.964e-01  7.407e-02  2.025e-01  1.753e-01
545.00  2.051e-01  7.153e-02  2.054e-01  1.694e-01
555.00  1.995e-01  7.003e-02  1.951e-01  1.708e-01
565.00  1.905e-01  6.370e-02  1.960e-01  1.728e-01
575.00  2.075e-01  6.315e-02  1.808e-01  1.625e-01
585.00  2.120e-01  5.036e-02  1.690e-01  1.664e-01
595.00  2.144e-01  5.278e-02  1.807e-01  1.775e-01
605.00  2.246e-01  5.372e-02  1.702e-01  1.700e-01
615.00  2.225e-01  4.664e-02  1.602e-01  1.549e-01
625.00  2.163e-01  4.248e-02  1.591e-01  1.750e-01
635.00  2.125e-01  4.351e-02  1.481e-01  1.623e-01
645.00  2.086e-01  3.968e-02  1.466e-01  1.634e-01
655.00  2.090e-01  3.849e-02  1.402e-01  1.522e-01
665.00  2.094e-01  3.917e-02  1.399e-01  1.430e-01
675.00  2.114e-01  3.319e-02  1.425e-01  1.616e-01
685.00  1.997e-01  3.644e-02  1.285e-01  1.483e-01
695.00  2.144e-01  3.266e-02  1.243e-01  1.359e-01
705.00  2.071e-01  3.098e-02  1.212e-01  1.407e-01
715.00  2.276e-01  3.072e-02  1.236e-01  1.500e-01
725.00  2.141e-01  3.245e-02  1.148e-01  1.374e-01
735.00  2.165e-01  3.168e-02  1.040e-01  1.384e-01
745.00  1.987e-01  2.921e-02  1.129e-01  1.459e-01
755.00  2.171e-01  2.456e-02  9.933e-02  1.314e-01
765.00  1.912e-01  2.373e-02  1.055e-01  1.280e-01
775.00  1.984e-01  2.767e-02  1.013e-01  1.173e-01
785.00  1.948e-01  2.253e-02  9.124e-02  1.242e-01
795.00  2.160e-01  2.103e-02  8.711e-02  1.228e-01
805.00  1.902e-01  2.083e-02  8.618e-02  1.123e-01
815.00  1.956e-01  1.987e-02  8.870e-02  1.055e-01
825.00  1.957e-01  2.398e-02  7.711e-02  1.030e-01
835.00  1.972e-01  1.943e-02  7.433e-02  1.136e-01
845.00  1.866e-01  1.694e-02  7.372e-02  1.042e-01
855.00  1.872e-01  1.554e-02  7.598e-02  9.763e-02
865.00  1.805e-01  1.618e-02  7.029e-02  9.278e-02
875.00  1.780e-01  1.906e-02  7.016e-02  9.286e-02
885.00  1.810e-01  1.669e-02  6.242e-02  8.651e-02
895.00  1.807e-01  1.468e-02  6.693e-02  8.671e-02
905.00  1.713e-01  1.634e-02  5.807e-02  7.724e-02
915.00  1.747e-01  1.494e-02  5.432e-02  6.634e-02
925.00  1.731e-01  1.481e-02  5.275e-02  8.048e-02
935.00  1.607e-01  1.319e-02  5.613e-02  6.837e-02
945.00  1.576e-01  1.363e-02  5.231e-02  6.994e-02
955.00  1.607e-01  1.267e-02  4.571e-02  5.963e-02
